REGION_NAME,STATE/REGION,NAICS,NAICS_LDESC,LEVEL,YEAR,GDP,EST_POP
Arizona,AZ,"42,44-45",Trade,0,2010,33181199999.999996,6407342
Arizona,AZ,"22,48-49",Transportation and utilities,0,2010,13448500000.0,6407342
Arizona,AZ,"31-33,51",Manufacturing and information,0,2010,28596000000.0,6407342
Arizona,AZ,..5,Private goods-producing industries 2/,1,2010,38664800000.0,6407342
Arizona,AZ,..6,Private services-providing industries 3/,1,2010,175352800000.0,6407342
Arkansas,AR,..0,All industry total,1,2010,101699300000.0,2921998
Arkansas,AR,..1,Private industries,1,2010,87308800000.0,2921998
Arkansas,AR,11,"Agriculture, forestry, fishing and hunting",2,2010,2134500000.0,2921998
Arkansas,AR,111-112,Farms,3,2010,1552900000.0,2921998
Arkansas,AR,113-115,"Forestry, fishing, and related activities",3,2010,581600000.0,2921998
Arkansas,AR,21,"Mining, quarrying, and oil and gas extraction",2,2010,3218600000.0,2921998
Arkansas,AR,211,Oil and gas extraction,3,2010,2048000000.0,2921998
Arkansas,AR,212,Mining (except oil and gas),3,2010,326200000.0,2921998
Arkansas,AR,213,Support activities for mining,3,2010,844400000.0,2921998
Arkansas,AR,22,Utilities,2,2010,2803600000.0,2921998
Arkansas,AR,23,Construction,2,2010,4059700000.0,2921998
Arkansas,AR,31-33,Manufacturing,2,2010,14914100000.0,2921998
Arkansas,AR,"321,327-339",Durable goods manufacturing,0,2010,6962000000.0,2921998
Arkansas,AR,321,Wood product manufacturing,3,2010,693600000.0,2921998
Arkansas,AR,327,Nonmetallic mineral product manufacturing,3,2010,356500000.0,2921998
Arkansas,AR,331,Primary metal manufacturing,3,2010,842600000.0,2921998
Arkansas,AR,332,Fabricated metal product manufacturing,3,2010,1713500000.0,2921998
Arkansas,AR,333,Machinery manufacturing,3,2010,889600000.0,2921998
Arkansas,AR,334,Computer and electronic product manufacturing,3,2010,299000000.0,2921998
Arkansas,AR,335,"Electrical equipment, appliance, and component manufacturing",3,2010,776100000.0,2921998
Arkansas,AR,3361-3363,"Motor vehicles, bodies and trailers, and parts manufacturing",4,2010,383100000.0,2921998
Arkansas,AR,"3364-3466,3369",Other transportation equipment manufacturing,4,2010,526799999.99999994,2921998
Arkansas,AR,337,Furniture and related product manufacturing,3,2010,194500000.0,2921998
Arkansas,AR,339,Miscellaneous manufacturing,3,2010,286700000.0,2921998
Arkansas,AR,"311-316,322-326",Nondurable goods manufacturing,0,2010,7952100000.0,2921998
Arkansas,AR,311-312,Food and beverage and tobacco product manufacturing,3,2010,3507400000.0,2921998
Arkansas,AR,313-314,Textile mills and textile product mills,3,2010,58100000.0,2921998
Arkansas,AR,315-316,"Apparel, leather, and allied product manufacturing",3,2010,81600000.0,2921998
Arkansas,AR,322,Paper manufacturing,3,2010,1939300000.0,2921998
Arkansas,AR,323,Printing and related support activities,3,2010,247400000.0,2921998
Arkansas,AR,324,Petroleum and coal products manufacturing,3,2010,321600000.0,2921998
Arkansas,AR,325,Chemical manufacturing,3,2010,762200000.0,2921998
Arkansas,AR,326,Plastics and rubber products manufacturing,3,2010,1034599999.9999999,2921998
Arkansas,AR,42,Wholesale trade,2,2010,7683200000.0,2921998
Arkansas,AR,44-45,Retail trade,2,2010,7174800000.0,2921998
Arkansas,AR,48-49,Transportation and warehousing,2,2010,4073400000.0,2921998
Arkansas,AR,481,Air transportation,3,2010,149500000.0,2921998
